domain_tld,gemini_label
wunderground.com,0
dropbox.com,0
aoltw.net,1
com.home,1
mozilla.com,0
metasploit.com,0
aol.com,0
aoltw.net,1
aol.com,0
aol.com,0
aoltw.net,1
aol.com,0
google.com,0
wpad.home,1
stayonline.net,1
aoltw.net,1
aol.com,0
aol.com,0
22.110phpmyadmin,1
informaction.com,1
com.localdomain,1
com.localdomain,1
vmware.com,0
mozilla.com,0
110phpmyadmin.localdomain,1
windows.com,0
vmware.com,0
ntkrnlpa.info,1
portswigger.net,0
offensive-security.com,0
stayonline.net,0
stopbadware.org,0
aoltw.net,0
arrancar.org,0
sql-ledger.org,0
backtrack-linux.org,0
stayonline.net,0
mozilla.com,0
theanime.cn,0
cn.,1
aoltw.net,1
aoltw.net,1
aoltw.net,1
hackerlabs.vpn,0
stayonline.net,0
aoltw.net,1
aol.com,0
aoltw.net,1
phpmyadmin.net,0
google.com,0
google.com,0
microsoft.com,0
com.home,1
aoltw.net,1
comcast.net,0
google.com,0
aoltw.net,1
ubuntu.com,0
mozilla.com,0
alexa.com,0
postgresql.org,0
sourceforge.net,0
freepbx.org,0
hackerlabs.vpn,1
bigflickrfeed.com,1
gnu.org,0
wpad,1
com.lan,1
google.com,0
comcast.net,0
sourceforge.net,0
"206.56""",1
freepbx.org,0
acunetix.com,0
acunetix.com,0
microsoft.com,0
windowsupdate.com,0
microsoft.com,0
flickr.com,0
alexa.com,0
microsoft.com,0
aol.com,0
malwarecity.com,0
facebook.com,0
comcast.net,0
comcast.net,0
securityfocus.com,0
xmarks.com,0
26-27.0,1
cakephp.org,0
hec.net,0
google.com,0
adams.net,0
uidaho.edu,0
pdx.edu,0
clarkson.edu,0
rackspace.com,0
ecvps.com,0
wisc.edu,0
facebook.net,1
easynews.com,0
bluehost.com,0
netriplex.com,0
stanford.edu,0
tummy.com,0
fastserv.com,0
kernel.org,0
hmc.edu,0
liquidweb.com,0
5ninesolutions.com,0
fastserv.com,0
interworx.info,0
wallawalla.edu,0
sanctuaryhost.com,0
team-cymru.org,0
umoss.org,0
gigenet.com,0
xmission.com,0
upenn.edu,0
tds.net,0
nyi.net,0
atlantic.net,0
usf.edu,0
rocketinternet.net,0
rit.edu,0
google.com,0
FL,1
apple.com,0
apple.com,0
xmarks.com,0
aol.com,0
saruman,1
google.com,0
stayonline.net,0
aoltw.net,0
21.1201,1
me.com,0
apple.com,0
me.com,0
apple.com,0
google.com,0
youtube.com,0
me.com,0
msftncsi.com,0
kodapp.com,0
threatspace.net,0
msftncsi.com,0
backblaze.com,0
social-engineer.org,0
microsoft.com,0
whitecell.localdomain,1
arduino.cc,0
aol.com,0
mac.com,0
nvidia.com,0
mozilla.org,0
mozilla.org,0
mac.com,0
nagios.org,0
vtlfccmfxlkgifuf.com,1
aoltw.net,0
macromates.com,0
22.254,1
google.com,0
254.home,1
21-28.0,1
ejfodfmfxlkgifuf.xyz,1
0.home,1
22.201:,1
aol.com,0
aoltw.net,0
com.localdomain,1
microsoft.com,0
verisign.com,0
stayonline.net,0
real.com,0
